filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
120t1 ,120,1,Sharon,1,1,0.33,1,1,96,1,0.75,0,47,19,0,35,0,,0,0,0,0,0,0,,0,,1,1,
120t1 ,96,1,Sharon,0,1,0.75,1,0,120,1,0.33,1,47,19,0,0,0,,0,0,0,0,0,1,153,1,,0,2,
119t5 ,137,5,Sharon,0,0,0.169,0,1,119,1,0.427,1,9,40,0,0,0,,0,0,0,0,0,1,242,0,,0,0,
119t5 ,119,5,Sharon,1,1,0.427,0,1,137,0,0.169,1,9,40,0,0,0,,0,0,1,1,0,0,,0,,0,0,
119t4,119,4,Cam,1,1,0.418,0,0,114,1,0.27,1,8,24,0,35,1,25,1,0,0,0,1,1,450,1,469,0,2,
119t4,114,4,Cam,0,1,0.27,0,1,119,1,0.418,0,8,24,1,75,1,25,1,0,1,0,1,0,,0,469,1,1,
119t3 ,119,3,LP,1,1,0.447,0,1,38,0,0.186,0,23,10,1,3,1,3,1,0,1,0,0,0,,0,5,1,1,
119t3 ,38,3,LP,0,0,0.186,0,0,119,1,0.447,1,23,10,0,0,1,3,1,0,0,0,0,1,4,1,5,0,2,
119t2,119,2,Cam,1,1,0.43,0,1,2,0,0.38,0,21,28,0,18,0,,0,0,0,0,0,0,,0,,0,0,
119t2,2,2,Cam,0,0,0.38,0,0,119,1,0.43,1,21,28,0,0,0,,0,0,0,0,0,0,,0,,0,0,
117t5,117,5,Cam,1,1,0.375,0,1,2,0,0.438,0,8,40,0,0,1,4,1,0,1,1,0,0,,0,6,1,1,
